id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
1552,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,391,2025-10-31 20:00:01,2025-10-31 22:12:28,132,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.0,54.0,0.0,0.0,47.0,47.0,0.0,0.0,,,,,,,,,LEAD_ACID,
1553,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,390,2025-10-29 20:00:01,2025-10-29 22:14:23,134,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.3,54.3,0.0,0.0,47.0,47.1,0.0,0.0,,,,,,,,,LEAD_ACID,
1554,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,389,2025-10-27 20:00:01,2025-10-27 22:13:21,133,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,53.9,53.9,0.0,0.0,47.0,47.0,0.0,0.0,,,,,,,,,LEAD_ACID,
1555,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,388,2025-10-25 20:00:01,2025-10-25 22:09:20,129,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.0,54.1,0.0,0.0,47.2,47.3,0.0,0.0,,,,,,,,,LEAD_ACID,
1556,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,387,2025-10-23 20:00:01,2025-10-23 22:10:06,130,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,54.3,54.3,0.0,0.0,47.7,47.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1557,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,386,2025-10-21 20:00:01,2025-10-21 22:10:20,130,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,54.0,54.0,0.0,0.0,47.7,47.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1558,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,385,2025-10-19 20:00:01,2025-10-19 22:07:09,127,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,73.0,0.0,0.0,54.3,54.4,0.0,0.0,47.8,47.8,0.0,0.0,,,,,,,,,LEAD_ACID,
1559,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,384,2025-10-17 20:00:00,2025-10-17 22:07:20,127,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,54.2,54.2,0.0,0.0,47.8,47.9,0.0,0.0,,,,,,,,,LEAD_ACID,
1560,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,383,2025-10-15 20:00:01,2025-10-15 22:07:49,127,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,73.0,0.0,0.0,54.4,54.4,0.0,0.0,48.0,48.1,0.0,0.0,,,,,,,,,LEAD_ACID,
1561,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,382,2025-10-13 20:00:01,2025-10-13 22:06:50,126,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,73.0,0.0,0.0,54.2,54.3,0.0,0.0,48.4,48.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1562,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,381,2025-10-11 20:00:01,2025-10-11 22:00:42,120,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,74.0,0.0,0.0,54.3,54.3,0.0,0.0,48.7,48.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1563,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,380,2025-10-09 20:00:01,2025-10-09 22:03:31,123,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,74.0,0.0,0.0,53.8,53.8,0.0,0.0,48.4,48.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1564,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,379,2025-10-07 21:30:10,2025-10-07 23:37:03,126,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,75.0,0.0,0.0,55.9,56.0,0.0,0.0,48.9,49.0,0.0,0.0,,,,,,,,,LEAD_ACID,
1565,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,378,2025-10-05 02:15:05,2025-10-05 04:28:25,133,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,74.0,0.0,0.0,55.8,55.8,0.0,0.0,48.7,48.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1566,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,377,2025-10-02 20:00:01,2025-10-02 22:01:52,121,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,76.0,0.0,0.0,53.6,53.6,0.0,0.0,48.5,48.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1567,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,376,2025-09-30 20:00:01,2025-09-30 22:05:08,125,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,75.0,0.0,0.0,53.4,53.4,0.0,0.0,48.6,48.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1568,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,375,2025-09-28 23:26:59,2025-09-29 01:34:25,127,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,76.0,0.0,0.0,55.2,55.2,0.0,0.0,49.3,49.3,0.0,0.0,,,,,,,,,LEAD_ACID,
1569,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,374,2025-09-26 20:00:01,2025-09-26 22:08:55,128,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,70.0,0.0,0.0,52.9,52.9,0.0,0.0,47.0,47.1,0.0,0.0,,,,,,,,,LEAD_ACID,
