ip,location
10.63.65.90,SBD._1hor_TselmegTower_ISS100_ULN
10.63.66.117,SHD._7hor_HilchinHothon_7bair_TPD_ULN
10.63.66.131,SHD._BayankhoshuuGerHoroolol_R1_ULN
10.63.66.195,SBD._1Hor_UnionBuilding_TPD55_ULN
10.63.67.168,SHD._11hor_Mandaliin3_61toot_MP22_ULN
10.63.67.186,BGD._23hor_ZuunArdAyush_25_230toot_ULN
10.63.67.200,SHD._25hor_Hairhan_2_63toot_IronTower_ULN
10.63.67.207,SHD.Baruunsalaa_BumbatiinAm_ULN
10.63.67.212,SHD._11hor_Nogoonchuluut82toot_Temp_TPD55_ULN
10.63.67.218,SHD._7hor_BHoshuu32_15_Unitel_TPD55_ULN
10.63.67.232,SHD._41hor_BaruunSalaa_Zeeliin17_13_MP22_ULN
10.63.67.238,SHD._9hor_BaruunBayanUul_13_31toot_MP22_ULN
10.63.67.34,SHD._43hor_Altain6_666_MP23_ULN
10.63.68.194,BZD._26hor_Mandala360_MP22_ULN
10.63.68.27,BZD._26hor_OlympVillage2_200bair_MOS42_ULN
10.63.68.35,BZD._14xor_ZuunHureeHothon_NMD30_ULN
10.63.69.131,HUD._3hor_DelgerehHothon_ULN
10.63.69.162,HUD._UildveriinGudamj9Abair_R1_ULN
10.63.69.196,SHD._6hor_XMK17bair_TPD40_ULN
10.63.7.242,SBD._6hor_ErdemTower_ULN
10.63.70.104,SHD._22hor_BayangoliinAm_SMP22_ULN
10.63.70.137,SHD._4hor_MNBC_ULN
10.63.70.169,SHD._26Hor_MandalOvoo18_13Toot_Unitel_MP22_ULN
10.63.70.180,SHD.IhNaran_Unitel_SMP22_ULN
10.63.70.196,SHD._18hor_MoskvagiinGudamj_66bair_NMD110_ULN
10.63.70.34,BZD._12hor_AShUUISDotuurBair_MP22_ULN
10.63.70.66,BZD._29hor_104abair_MP22_ULN
10.63.71.2,SHD._19hor_HamagMongol39Bair_MP22_ULN
10.63.71.34,SHD._3hor_Tolgoit30_11Atoot_SMP21_ULN
10.63.71.66,BZD._26hor_TrueL76Bair_NMD40_ULN
10.63.72.226,HUD._11hor_Ihmongolplaza_ULN
10.63.73.162,BZD._15hor_SomangPlaza_MOS42_ULN
10.63.73.3,HUD.RiverGarden_TPD_ULN
